id,cons_12m,cons_gas_12m,cons_last_month,forecast_cons_12m,forecast_meter_rent_12m,forecast_price_energy_p2,forecast_price_pow_p1,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,churn,channel_sales_epum,channel_sales_ewpa,channel_sales_fixd,channel_sales_foos,channel_sales_lmke,channel_sales_sddi,channel_sales_usil,has_gas_t,origin_up_ewxeelce,origin_up_kamkkxfx,origin_up_ldkssxwp,origin_up_lxidpidd,origin_up_usapbepc
48ada52261e7cf58715202705a0451c9,12.641989361094167,0.0,9.212936997823448,10.18570346270622,5.886909262719977,0.088347,58.99595196,6.724793517300759,,-41.76,1,1732.36,3,180.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
24011ae4ebbe3035111d65fa7c15bc57,0.0,10.91412436325496,0.0,0.0,1.0224509277025458,0.098142,40.606701,0.0,3.2748780149834857,25.44,2,678.99,3,43.648,1,0,0,0,1,0,0,0,1,0,0,0,1,0
d29c2c54acc38ff3c0614d0a653813dd,8.446985296372741,0.0,0.0,5.252011613671526,2.848970892158587,0.0,44.31137796,0.0,2.8553201198372458,16.38,1,18.89,6,13.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
764c75f661154dac3a6c254cd082ea7d,6.300785794663244,0.0,0.0,3.8910036382040705,3.681854839176972,0.087899,44.31137796,0.0,3.3877743613300146,28.6,1,6.6,6,13.856,0,0,0,0,1,0,0,0,0,0,1,0,0,0
bba03439a292a1e166f80264c16191cb,7.368339686311381,0.0,0.0,5.484962894822046,3.0363942552728806,0.0,44.31137796,0.0,3.441058915087286,30.22,1,25.46,6,13.2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
568bb38a1afd7c0fc49c77b3789b59a3,11.706318835731233,0.0,9.425532393502772,9.293395767713493,5.145981705244338,0.093746,40.606701,6.959749827433572,,-3.18,1,823.18,6,75.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
149d57cf92fc41cf94415803a877cb4b,8.395251520610994,0.0,6.267200548541362,6.101999154039538,4.888316989638111,0.1000149999999999,40.606701,3.976311495310508,3.826682958261131,44.91,1,47.98,6,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1aa498825382410b098937d65c4ec26d,9.02437217426203,0.0,7.6004023345004,6.682033406653127,3.4378506993101907,0.086131,45.30837756,5.205159868061787,3.5298837226234783,33.12,1,118.89,4,13.2,1,0,0,0,0,0,0,1,0,0,0,0,1,0
7ab4bf4878d8f7661dfc20e9b8e18011,10.716593178609457,0.0,0.0,8.995943457068531,0.0,0.087538,44.31137796,0.0,1.6174060820832772,4.04,1,346.63,4,15.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
01495c955be7ec5e7f3203406785aae0,10.293940540523788,0.0,7.13966033596492,6.763573081658486,4.980107355727298,0.098837,40.606701,4.27151398062636,4.00587758089977,53.92,1,100.09,6,26.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
f53a254b1115634330c12c7fdbf7958a,7.993957547573565,0.0,0.0,6.09892785035751,2.8243506567983707,0.0,44.31137796,0.0,2.626116818339524,12.82,1,42.59,4,13.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10c1b2f97a2d2a6f10299dc213d1a370,10.168348697202207,0.0,7.691200097522863,7.91538467827168,4.878474390493917,0.099419,40.606701,5.39630577487624,3.5386377907833935,33.42,1,329.6,6,31.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0
d5e512dbc8118a830a7b8c7f61d89992,9.290259995152056,0.0,8.043342170441608,7.094716057924517,3.088311454847084,0.087381,44.31137796,5.859303643505643,2.7421295147550726,14.52,1,108.5,5,11.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0
